 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
בקוע, 0000864, 0000416, 0000313, 0000003, 0000310, 0000038, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000004, 0000095, 0000000, 0000000, 0000001, 0000013, 0000000, 0000000, 0000000, 0000037, 0000014, 0000000, 0000000, 0000000, 0000001, 0000007, 0000013, 0000000, 0000000, 0000004, 0000000, 0000045
בקעות, 0003612, 0000147, 0000111, 0000000, 0000111, 0000020, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000008, 0000000, 0000005, 0000037, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000027, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000003
בר גיורא, 0000823, 0000381, 0000283, 0000006, 0000277, 0000029, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000033, 0000000, 0000012, 0000095, 0000013, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000008, 0000000, 0000001, 0000003, 0000001, 0000031
בר יוחאי, 0001191, 0000354, 0000263, 0000000, 0000263, 0000001, 0000016, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000135, 0000000, 0000003, 0000042, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000000, 0000000, 0000003, 0000003, 0000000, 0000000, 0000000, 0000001, 0000000, 0000040
ברוכין, 0003744, 0000154, 0000142, 0000000, 0000142, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000094, 0000000, 0000000, 0000046, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
ברור חיל, 0000428, 0000622, 0000427, 0000001, 0000426, 0000191, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000002, 0000000, 0000000, 0000011, 0000000, 0000024, 0000033, 0000047, 0000000, 0000000, 0000002, 0000000, 0000001, 0000000, 0000071, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000033, 0000000, 0000000, 0000004, 0000001, 0000000
ברוש, 0002060, 0000208, 0000162, 0000000, 0000162, 0000008, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000022, 0000000, 0000002, 0000044, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000049, 0000000, 0000000, 0000002, 0000000, 0000023
ברכה, 0003710, 0000883, 0000712, 0000006, 0000706, 0000003, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000192, 0000000, 0000003, 0000368, 0000001, 0000000, 0000000, 0000125, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006
ברכיה, 0000746, 0000677, 0000543, 0000006, 0000537, 0000002, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000100, 0000000, 0000007, 0000133, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000008, 0000005, 0000000, 0000000, 0000000, 0000006, 0000019, 0000001, 0000000, 0000000, 0000003, 0000000, 0000231
ברעם, 0000667, 0000500, 0000341, 0000001, 0000340, 0000076, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000001, 0000000, 0000000, 0000005, 0000001, 0000003, 0000008, 0000177, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000048, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000000, 0000000, 0000004, 0000001, 0000000
ברק, 0000141, 0000293, 0000205, 0000003, 0000202, 0000061, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000020, 0000000, 0000009, 0000039, 0000002, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000033, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000020, 0000000, 0000000, 0000002, 0000001, 0000005
ברקאי, 0000617, 0000472, 0000312, 0000004, 0000308, 0000071, 0000001, 0000001, 0000000, 0000000, 0000000, 0000007, 0000009, 0000000, 0000000, 0000001, 0000000, 0000001, 0000004, 0000147, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000032, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000026, 0000000, 0000000, 0000004, 0000000, 0000000
ברקן, 0003654, 0001086, 0000790, 0000003, 0000787, 0000056, 0000003, 0000000, 0000000, 0000001, 0000000, 0000002, 0000009, 0000000, 0000001, 0000156, 0000003, 0000008, 0000375, 0000008, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000095, 0000014, 0000000, 0000000, 0000001, 0000000, 0000006, 0000011, 0000000, 0000000, 0000019, 0000002, 0000002
ברקת, 0002038, 0000877, 0000724, 0000001, 0000723, 0000007, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000185, 0000000, 0000000, 0000105, 0000000, 0000000, 0000000, 0000177, 0000001, 0000000, 0000001, 0000005, 0000103, 0000001, 0000000, 0000000, 0000000, 0000004, 0000003, 0000000, 0000000, 0000006, 0000001, 0000113
בת הדר, 0001323, 0000381, 0000261, 0000000, 0000261, 0000028, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000017, 0000000, 0000006, 0000074, 0000006, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000063, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000033, 0000000, 0000000, 0000002, 0000001, 0000013
בת חן, 0001361, 0000519, 0000402, 0000004, 0000398, 0000144, 0000003, 0000000, 0000000, 0000002, 0000000, 0000000, 0000010, 0000000, 0000001, 0000013, 0000001, 0000006, 0000051, 0000037, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000092, 0000000, 0000001, 0000000, 0000002, 0000000, 0000008, 0000022, 0000000, 0000000, 0000001, 0000000, 0000003
בת חפר, 0001319, 0003428, 0002626, 0000015, 0002611, 0000528, 0000011, 0000000, 0000000, 0000000, 0000000, 0000005, 0000041, 0000000, 0000004, 0000157, 0000000, 0000121, 0000357, 0000145, 0000000, 0000002, 0000019, 0000001, 0000000, 0000000, 0000878, 0000009, 0000000, 0000000, 0000002, 0000000, 0000029, 0000204, 0000002, 0000007, 0000041, 0000005, 0000043
בת ים, 0006200, 0124406, 0065031, 0001071, 0063960, 0006643, 0000557, 0000031, 0000014, 0000105, 0000019, 0000083, 0000371, 0000000, 0000205, 0004622, 0001120, 0001479, 0023438, 0001096, 0000016, 0000026, 0000785, 0000042, 0000025, 0000030, 0009704, 0000316, 0000069, 0000000, 0000047, 0000053, 0000589, 0003579, 0000092, 0000039, 0000892, 0000262, 0007611
בת עין, 0003794, 0000635, 0000464, 0000004, 0000460, 0000003, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000183, 0000000, 0000000, 0000024, 0000001, 0000000, 0000000, 0000169, 0000000, 0000000, 0000000, 0000002, 0000007, 0000000, 0000000, 0000000, 0000004, 0000003, 0000000, 0000000, 0000001, 0000000, 0000000, 0000043
בת שלמה, 0000033, 0000373, 0000293, 0000004, 0000289, 0000067, 0000002, 0000000, 0000000, 0000000, 0000000, 0000009, 0000003, 0000000, 0000000, 0000019, 0000000, 0000003, 0000048, 0000032, 0000000, 0000001, 0000003, 0000000, 0000000, 0000000, 0000051, 0000000, 0000001, 0000000, 0000000, 0000000, 0000001, 0000031, 0000001, 0000000, 0000009, 0000002, 0000006
ג'דיידה-מכר, 0001292, 0011783, 0006384, 0000060, 0006324, 0000068, 0000011, 0002016, 0000002, 0000004, 0000003, 0001592, 0000003, 0000000, 0000001, 0000012, 0000000, 0000132, 0000134, 0000085, 0000001, 0000000, 0000005, 0000002, 0002101, 0000005, 0000011, 0000003, 0000002, 0000000, 0000005, 0000002, 0000025, 0000021, 0000007, 0000010, 0000007, 0000006, 0000048
ג'ולס, 0000485, 0004008, 0002532, 0000038, 0002494, 0000096, 0000017, 0000049, 0000001, 0000001, 0000001, 0000042, 0000001, 0000000, 0000002, 0000277, 0000000, 0000447, 0000429, 0000032, 0000000, 0000000, 0000001, 0000000, 0000004, 0000001, 0000084, 0000005, 0000000, 0000000, 0000000, 0000001, 0000001, 0000643, 0000002, 0000002, 0000007, 0000004, 0000344
ג'לג'וליה, 0000627, 0005011, 0003552, 0000034, 0003518, 0000727, 0000003, 0000538, 0000001, 0000000, 0000001, 0000807, 0000001, 0000000, 0000001, 0000005, 0000000, 0000002, 0000013, 0000140, 0000000, 0000000, 0000002, 0000000, 0001168, 0000002, 0000007, 0000003, 0000002, 0000000, 0000004, 0000003, 0000007, 0000003, 0000000, 0000006, 0000003, 0000001, 0000068
ג'נאביב (שבט), 0000976, 0000293, 0000114, 0000004, 0000110, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000073, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000028, 0000000, 0000001, 0000000, 0000000, 0000000
ג'סר א-זרקא, 0000541, 0007308, 0002993, 0000017, 0002976, 0000155, 0000001, 0001139, 0000002, 0000000, 0000000, 0000132, 0000001, 0000000, 0000001, 0000009, 0000001, 0000049, 0000024, 0000239, 0000001, 0000001, 0000002, 0000000, 0000910, 0000001, 0000022, 0000000, 0000001, 0000000, 0000001, 0000000, 0000016, 0000026, 0000007, 0000004, 0000002, 0000014, 0000215
ג'ש (גוש חלב), 0000487, 0002208, 0000981, 0000023, 0000958, 0000090, 0000000, 0000173, 0000000, 0000000, 0000000, 0000233, 0000001, 0000000, 0000000, 0000014, 0000000, 0000028, 0000087, 0000078, 0000000, 0000000, 0000006, 0000000, 0000137, 0000000, 0000005, 0000002, 0000000, 0000000, 0000000, 0000001, 0000002, 0000041, 0000000, 0000001, 0000007, 0000002, 0000050
ג'ת, 0000628, 0006554, 0002549, 0000066, 0002483, 0000112, 0000001, 0000757, 0000000, 0000001, 0000001, 0000147, 0000002, 0000000, 0000000, 0000005, 0000000, 0000066, 0000003, 0000076, 0000000, 0000000, 0000002, 0000002, 0001253, 0000001, 0000004, 0000000, 0000000, 0000000, 0000000, 0000002, 0000004, 0000003, 0000015, 0000012, 0000003, 0000000, 0000011
גאולי תימן, 0000872, 0000280, 0000191, 0000002, 0000189, 0000028, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000034, 0000000, 0000001, 0000070, 0000001, 0000000, 0000000, 0000003, 0000000, 0000001, 0000000, 0000022, 0000001, 0000000, 0000000, 0000000, 0000001, 0000007, 0000002, 0000001, 0000000, 0000003, 0000000, 0000011
גאולים, 0000379, 0000645, 0000450, 0000005, 0000445, 0000107, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000057, 0000000, 0000017, 0000074, 0000012, 0000000, 0000001, 0000007, 0000000, 0000000, 0000000, 0000077, 0000014, 0000000, 0000000, 0000000, 0000000, 0000011, 0000021, 0000000, 0000000, 0000008, 0000002, 0000033
גאליה, 0000853, 0000794, 0000626, 0000002, 0000624, 0000103, 0000000, 0000000, 0000000, 0000002, 0000000, 0000001, 0000005, 0000000, 0000000, 0000020, 0000000, 0000024, 0000126, 0000044, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000207, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000059, 0000000, 0000000, 0000012, 0000001, 0000004
גבולות, 0000352, 0000266, 0000161, 0000000, 0000161, 0000039, 0000001, 0000001, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000004, 0000000, 0000001, 0000007, 0000074, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000007, 0000000, 0000001
גבים, 0000424, 0000320, 0000239, 0000001, 0000238, 0000097, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000007, 0000000, 0000015, 0000011, 0000048, 0000000, 0000001, 0000001, 0000000, 0000001, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000023, 0000000, 0000000, 0000007, 0000000, 0000000
גבע בנימין, 0003763, 0002493, 0001805, 0000016, 0001789, 0000073, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000375, 0000005, 0000022, 0000559, 0000010, 0000001, 0000002, 0000158, 0000001, 0000000, 0000000, 0000115, 0000045, 0000000, 0000000, 0000001, 0000000, 0000022, 0000014, 0000000, 0000000, 0000021, 0000005, 0000322
גבע כרמל, 0000683, 0000644, 0000488, 0000002, 0000486, 0000116, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000025, 0000000, 0000023, 0000072, 0000032, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000114, 0000000, 0000000, 0000000, 0000000, 0000000, 0000015, 0000050, 0000000, 0000000, 0000001, 0000001, 0000026
גבע, 0000086, 0000502, 0000379, 0000002, 0000377, 0000221, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000010, 0000000, 0000000, 0000002, 0000000, 0000005, 0000008, 0000039, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000039, 0000000, 0000000, 0000003, 0000000, 0000000
גבעולים, 0002014, 0000234, 0000173, 0000002, 0000171, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000022, 0000000, 0000019, 0000072, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000002, 0000000, 0000035
גבעון החדשה, 0003644, 0000966, 0000710, 0000011, 0000699, 0000059, 0000002, 0000001, 0000000, 0000000, 0000002, 0000000, 0000005, 0000000, 0000000, 0000119, 0000002, 0000013, 0000230, 0000014, 0000001, 0000000, 0000019, 0000000, 0000001, 0000000, 0000138, 0000000, 0000001, 0000000, 0000001, 0000000, 0000015, 0000029, 0000000, 0000000, 0000017, 0000003, 0000027
גבעות בר, 0001344, 0000192, 0000163, 0000000, 0000163, 0000034, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000000, 0000017, 0000000, 0000006, 0000032, 0000007, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000014, 0000000, 0000000, 0000000, 0000001, 0000003
גבעת אבני, 0001293, 0001565, 0001119, 0000002, 0001117, 0000165, 0000003, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000146, 0000000, 0000025, 0000275, 0000028, 0000000, 0000000, 0000016, 0000001, 0000000, 0000099, 0000188, 0000005, 0000000, 0000000, 0000000, 0000000, 0000019, 0000069, 0000000, 0000000, 0000014, 0000002, 0000060
גבעת אלה, 0001288, 0001451, 0001103, 0000003, 0001100, 0000348, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000015, 0000000, 0000004, 0000029, 0000000, 0000024, 0000101, 0000127, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000302, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000120, 0000000, 0000001, 0000007, 0000000, 0000005
גבעת ברנר, 0000147, 0001758, 0001333, 0000008, 0001325, 0000540, 0000003, 0000000, 0000000, 0000001, 0000000, 0000004, 0000026, 0000000, 0000003, 0000030, 0000000, 0000021, 0000121, 0000158, 0000001, 0000000, 0000007, 0000000, 0000000, 0000000, 0000258, 0000004, 0000000, 0000000, 0000000, 0000000, 0000015, 0000106, 0000000, 0000000, 0000019, 0000002, 0000006
גבעת השלושה, 0000870, 0000437, 0000337, 0000001, 0000336, 0000138, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000006, 0000000, 0000008, 0000025, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000074, 0000001, 0000000, 0000000, 0000000, 0000000, 0000007, 0000026, 0000000, 0000000, 0000004, 0000002, 0000002
גבעת זאב, 0003730, 0009282, 0006931, 0000038, 0006893, 0000328, 0000751, 0000001, 0000000, 0000004, 0000000, 0000002, 0000040, 0000000, 0000007, 0001026, 0000012, 0000074, 0002113, 0000068, 0000000, 0000000, 0000280, 0000000, 0000000, 0000000, 0000777, 0000052, 0000000, 0000000, 0000003, 0000001, 0000122, 0000164, 0000002, 0000002, 0000074, 0000096, 0000894
גבעת ח"ן, 0000207, 0000310, 0000262, 0000001, 0000261, 0000073, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000002, 0000006, 0000000, 0000012, 0000018, 0000031, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000066, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000036, 0000000, 0000000, 0000004, 0000001, 0000000
גבעת חיים (איחוד), 0002018, 0000870, 0000657, 0000001, 0000656, 0000348, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000005, 0000000, 0000000, 0000003, 0000002, 0000007, 0000009, 0000126, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000103, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000043, 0000000, 0000000, 0000003, 0000001, 0000001
גבעת חיים (מאוחד), 0000173, 0000872, 0000676, 0000001, 0000675, 0000303, 0000002, 0000000, 0000000, 0000001, 0000000, 0000005, 0000010, 0000000, 0000001, 0000008, 0000001, 0000026, 0000028, 0000133, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000095, 0000001, 0000000, 0000000, 0000000, 0000000, 0000008, 0000039, 0000000, 0000000, 0000006, 0000002, 0000004
גבעת יואב, 0004021, 0000407, 0000302, 0000003, 0000299, 0000051, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000039, 0000000, 0000010, 0000056, 0000015, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000055, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000035, 0000001, 0000002, 0000014, 0000003, 0000001
גבעת יערים, 0000787, 0000832, 0000620, 0000007, 0000613, 0000097, 0000004, 0000000, 0000000, 0000000, 0000000, 0000005, 0000011, 0000000, 0000000, 0000080, 0000000, 0000007, 0000181, 0000048, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000078, 0000006, 0000000, 0000000, 0000000, 0000000, 0000027, 0000017, 0000000, 0000000, 0000010, 0000001, 0000030
גבעת ישעיהו, 0000919, 0000406, 0000305, 0000000, 0000305, 0000068, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000008, 0000000, 0000000, 0000020, 0000000, 0000008, 0000043, 0000058, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000023, 0000000, 0000000, 0000004, 0000002, 0000011
גבעת כ"ח, 0000802, 0000523, 0000375, 0000004, 0000371, 0000028, 0000004, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000001, 0000057, 0000000, 0000017, 0000110, 0000005, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000057, 0000025, 0000000, 0000000, 0000000, 0000000, 0000003, 0000014, 0000000, 0000000, 0000002, 0000002, 0000037
גבעת ניל"י, 0000360, 0000379, 0000300, 0000002, 0000298, 0000048, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000006, 0000000, 0000001, 0000009, 0000000, 0000005, 0000118, 0000016, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000054, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000023, 0000000, 0000000, 0000002, 0000004, 0000005
גבעת עוז, 0000703, 0000407, 0000270, 0000000, 0000270, 0000095, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000016, 0000000, 0000004, 0000013, 0000074, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000005, 0000001, 0000004
גבעת שמואל, 0000681, 0015870, 0012346, 0000049, 0012297, 0001167, 0000144, 0000003, 0000002, 0000005, 0000001, 0000011, 0000097, 0000000, 0000012, 0003882, 0000016, 0000181, 0002522, 0000368, 0000000, 0000002, 0000304, 0000001, 0000006, 0000021, 0001891, 0000047, 0000003, 0000000, 0000000, 0000001, 0000267, 0000517, 0000003, 0000002, 0000114, 0000021, 0000686
גבעת שפירא, 0001077, 0000184, 0000147, 0000000, 0000147, 0000040, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000005, 0000011, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000061, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000001, 0000000, 0000000, 0000000
גבעתי, 0000793, 0000584, 0000395, 0000002, 0000393, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000035, 0000000, 0000028, 0000123, 0000000, 0000000, 0000000, 0000005, 0000000, 0000001, 0000000, 0000049, 0000001, 0000000, 0000000, 0000002, 0000000, 0000006, 0000033, 0000000, 0000001, 0000005, 0000000, 0000059
